Date,Day of Week(0-6),Day of the Month(1-31),Month of the Year(1-12),Time of Day(0-23),Holidays,Humidity,Temperature,Load WEST
1/1/2012,6,1,1,1,1,34.89,13.2,849.0008921
1/1/2012,6,1,1,2,1,37.89,12,845.0973635
1/1/2012,6,1,1,3,1,46.46,10.2,840.9028485
1/1/2012,6,1,1,4,1,54.48,8.4,845.4522569
1/1/2012,6,1,1,5,1,63.22,6.6,862.369386
1/1/2012,6,1,1,6,1,64.14,5.7,892.3411152
1/1/2012,6,1,1,7,1,69.03,4.5,937.004247
1/1/2012,6,1,1,8,1,71.79,3.7,983.047607
1/1/2012,6,1,1,9,1,60.24,7.3,1009.202331
1/1/2012,6,1,1,10,1,47.98,10,1008.613408
1/1/2012,6,1,1,11,1,42.85,11.6,985.2849904
1/1/2012,6,1,1,12,1,41.54,12.6,964.0653948
1/1/2012,6,1,1,13,1,36.52,13.6,941.2886457
1/1/2012,6,1,1,14,1,33.96,14.4,920.5565432
1/1/2012,6,1,1,15,1,29.58,15,895.5955938
1/1/2012,6,1,1,16,1,28.81,15,885.9990798
1/1/2012,6,1,1,17,1,31.67,13.3,888.7269143
1/1/2012,6,1,1,18,1,41.44,9.7,932.3112503
1/1/2012,6,1,1,19,1,49.38,7.9,1024.286367
1/1/2012,6,1,1,20,1,54.82,6.3,1047.486448
1/1/2012,6,1,1,21,1,58.74,5.3,1048.195406
1/1/2012,6,1,1,22,1,60.9,4.7,1050.054127
1/1/2012,6,1,1,23,1,59.96,4.8,1035.66559
1/2/2012,0,2,1,0,1,63.72,3.7,1013.58041
1/2/2012,0,2,1,1,1,62.8,3.7,998.263915
1/2/2012,0,2,1,2,1,65.3,2.5,1003.566423
1/2/2012,0,2,1,3,1,64.55,2.5,1017.125365
1/2/2012,0,2,1,4,1,67.5,1.9,1040.273664
1/2/2012,0,2,1,5,1,67.02,1.5,1072.828158
1/2/2012,0,2,1,6,1,67.02,1.5,1128.889877
1/2/2012,0,2,1,7,1,69.29,1.1,1206.819517
1/2/2012,0,2,1,8,1,70.54,1.9,1259.831006
1/2/2012,0,2,1,9,1,62.05,4.8,1248.046638
1/2/2012,0,2,1,10,1,50.83,7.4,1208.165773
1/2/2012,0,2,1,11,1,41.74,8.6,1151.41747
1/2/2012,0,2,1,12,1,36.1,10.5,1094.816635
1/2/2012,0,2,1,13,1,29.8,11.5,1047.466048
1/2/2012,0,2,1,14,1,28.37,12.2,1013.773593
1/2/2012,0,2,1,15,1,25.26,12.8,972.7471232
1/2/2012,0,2,1,16,1,23.99,12.7,950.8061428
1/2/2012,0,2,1,17,1,27.9,11.4,954.0789061
1/2/2012,0,2,1,18,1,34.96,8.4,1011.605239
1/2/2012,0,2,1,19,1,46.02,4.7,1115.891009
1/2/2012,0,2,1,20,1,45.3,4.7,1140.422154
1/2/2012,0,2,1,21,1,51.35,3.4,1143.645059
1/2/2012,0,2,1,22,1,66.15,0.7,1135.096984
1/2/2012,0,2,1,23,1,70.14,-0.6,1099.534103
1/3/2012,1,3,1,0,0,72.99,-1.3,1066.81987
1/3/2012,1,3,1,1,0,73.89,-1.6,1049.608226
1/3/2012,1,3,1,2,0,78.89,-2.1,1031.515028
1/3/2012,1,3,1,3,0,77.25,-2.6,1012.033726
1/3/2012,1,3,1,4,0,76.03,-2.3,1055.890229
1/3/2012,1,3,1,5,0,76.74,-2.5,1106.589314
1/3/2012,1,3,1,6,0,71.22,-1.7,1183.735909
1/3/2012,1,3,1,7,0,76.55,-2.4,1297.990289
1/3/2012,1,3,1,8,0,80.81,-2.7,1355.158417
1/3/2012,1,3,1,9,0,72.85,2.9,1319.140462
1/3/2012,1,3,1,10,0,49.72,7,1244.212775
1/3/2012,1,3,1,11,0,37.54,10.1,1169.439312
1/3/2012,1,3,1,12,0,37.32,11.3,1108.741892
1/3/2012,1,3,1,13,0,32.52,13,1055.805644
1/3/2012,1,3,1,14,0,31.42,13.9,1011.081293
1/3/2012,1,3,1,15,0,29.05,15.2,975.1541837
1/3/2012,1,3,1,16,0,29.06,14.8,956.0280156
1/3/2012,1,3,1,17,0,30.27,13.6,959.9956091
1/3/2012,1,3,1,18,0,36.02,11.4,1000.63504
1/3/2012,1,3,1,19,0,37.91,10.5,1096.79683
1/3/2012,1,3,1,20,0,41.08,9.4,1117.93443
1/3/2012,1,3,1,21,0,41.79,9.1,1118.687026
1/3/2012,1,3,1,22,0,43,8.6,1093.43405
1/3/2012,1,3,1,23,0,46.85,8.2,1043.089006
1/4/2012,2,4,1,0,0,53.38,7.2,985.15724
1/4/2012,2,4,1,1,0,61.47,7,971.5804483
1/4/2012,2,4,1,2,0,69.99,6.8,965.0946478
1/4/2012,2,4,1,3,0,73.9,6.1,965.931939
1/4/2012,2,4,1,4,0,82.48,4.3,975.5211164
1/4/2012,2,4,1,5,0,85.2,3.6,1003.731546
1/4/2012,2,4,1,6,0,87.95,2.2,1076.073881
1/4/2012,2,4,1,7,0,87.88,2.4,1187.19464
1/4/2012,2,4,1,8,0,94.33,2.3,1226.011781
1/4/2012,2,4,1,9,0,83.3,6.8,1195.30147
1/4/2012,2,4,1,10,0,76.03,8.8,1147.857383
1/4/2012,2,4,1,11,0,53.19,12.3,1096.619713
1/4/2012,2,4,1,12,0,36.4,14.3,1048.010276
